match_id,innings,over,items
356006,1,0,BOUNDARY
356006,1,1,"WICKET, BOUNDARY, DOT_HEAVY"
356006,1,2,"BOUNDARY, EXTRAS, DOT_HEAVY"
356006,1,3,"WICKET, EXTRAS, DOT_HEAVY"
356006,1,4,"WICKET, DOT_HEAVY"
356006,1,5,"BOUNDARY, HIGH_RUN_OVER"
356006,1,6,DOT_HEAVY
356006,1,7,DOT_HEAVY
356006,1,8,DOT_HEAVY
356006,1,9,DOT_HEAVY
356006,1,12,"WICKET, BOUNDARY"
356006,1,13,"BOUNDARY, EXTRAS, DOT_HEAVY"
356006,1,14,"BOUNDARY, HIGH_RUN_OVER"
356006,1,15,"BOUNDARY, HIGH_RUN_OVER"
356006,1,16,"BOUNDARY, HIGH_RUN_OVER"
356006,1,17,"WICKET, EXTRAS, DOT_HEAVY"
356006,1,18,BOUNDARY
356006,1,19,"WICKET, BOUNDARY, HIGH_RUN_OVER"
356006,2,0,"BOUNDARY, DOT_HEAVY"
356006,2,1,"WICKET, EXTRAS, DOT_HEAVY"
356006,2,2,"BOUNDARY, DOT_HEAVY"
356006,2,3,"BOUNDARY, EXTRAS, DOT_HEAVY"
356006,2,4,BOUNDARY
356006,2,5,DOT_HEAVY
356006,2,6,BOUNDARY
